"","id_piezometro","anno","media_nivel","n_medidas","sd_nivel"
"1","2143-4-0056",1986,837.95,2,0
"2","2143-4-0056",1990,836.84,2,0
"3","2143-4-0056",1991,836.12,2,0.127279220613624
"4","2143-4-0056",1992,835.99,1,NA
"5","2143-4-0056",1993,835.76,1,NA
"6","2143-4-0056",1994,835.42,1,NA
"7","2143-4-0056",1995,831.483333333333,3,0.427707064862549
"8","2143-4-0056",1996,834.942,5,0.488487461456301
"9","2143-4-0056",1997,838.2,3,0.439658958739622
"10","2143-4-0056",1998,837.96,2,1.30107647738327
"11","2143-4-0056",1999,837.095,2,0.120208152801684
"12","2143-4-0056",2000,833.486666666667,3,3.9108225903681
"13","2143-4-0056",2001,836.82,1,NA
"14","2143-4-0056",2002,835.67,1,NA
"15","2143-4-0056",2003,835.9,2,0.367695526216992
"16","2143-4-0056",2004,836.21,1,NA
"17","2143-4-0056",2010,839.66,1,NA
"18","2144-4-0008",1965,7.95,1,NA
"19","2144-4-0008",1972,5.57,2,0.268700576850888
"20","2144-4-0008",1996,-23.36,1,NA
"21","2144-4-0008",1997,-15.7933333333333,3,5.76546904712299
"22","2144-4-0008",1998,-21.0925,4,4.77412731990535
"23","2144-4-0008",1999,-12.27,3,0.748398289682705
"24","2144-4-0008",2001,-14.5466666666667,3,0.696156112760158
"25","2144-4-0008",2002,-25.41,1,NA
"26","2144-4-0008",2003,-26.28,1,NA
"27","2144-4-0008",2004,-30.71,2,0.452548339959391
"28","2144-4-0008",2007,-41.05,1,NA
"29","2144-4-0008",2009,-15.87,1,NA
"30","2144-4-0008",2010,-13.99,1,NA
"31","2144-4-0012",1965,10.44,3,0.103923048454132
"32","2144-4-0012",1972,6.85333333333333,3,0.300222139978606
"33","2144-4-0012",1973,5.66,7,0.761161393310687
"34","2144-4-0012",1974,4.86818181818182,11,0.398994189978205
"35","2144-4-0012",1975,3.87666666666667,6,0.837822574693871
"36","2144-4-0012",1976,3.08666666666667,6,0.110030298857481
"37","2144-4-0012",1977,2.89727272727273,11,0.511665728949886
"38","2144-4-0012",1978,2.26416666666667,12,0.725552558503872
"39","2144-4-0012",1979,1.19636363636364,11,0.698759940570046
"40","2144-4-0012",1980,0.7075,4,0.188215302247187
"41","2144-4-0012",1986,-8.20666666666667,6,0.690844893349199
"42","2144-4-0012",1987,-9.25833333333333,6,0.25246121814383
"43","2144-4-0012",1988,-10.3314285714286,7,0.271749184079031
"44","2144-4-0012",1989,-10.72,6,0.0384707681233428
"45","2144-4-0012",1990,-10.5157142857143,7,0.319158118746656
"46","2144-4-0012",1991,-10.385,4,0.0387298334620743
"47","2144-4-0012",1992,-10.8633333333333,3,0.639557138442949
"48","2144-4-0012",1993,-14.4966666666667,3,0.46003623045727
"49","2144-4-0012",1994,-17.7766666666667,3,2.29889828686119
"50","2144-4-0012",1995,-22.1375,4,2.13687271497392
"51","2144-4-0012",1996,-24.09,5,0.541617946526885
"52","2144-4-0012",1997,-22.3033333333333,3,2.56963680961597
"53","2144-4-0012",1998,-22.46,2,0.622253967444161
"54","2144-4-0012",1999,-25.4475,4,1.47420882736018
"55","2144-4-0012",2000,-29.08,3,0.208086520466849
"56","2144-4-0012",2001,-30.3266666666667,3,0.696012451995892
"57","2144-4-0012",2002,-29.85,1,NA
"58","2144-4-0012",2003,-31.19,1,NA
"59","2144-4-0012",2004,-31.1,3,0.901498752079002
"60","2144-4-0012",2005,-34.58,1,NA
"61","2144-4-0012",2006,-38.74,1,NA
"62","2144-4-0012",2007,-41.615,2,0.205060966544098
"63","2144-4-0012",2008,-43.9,4,0.3819249489974
"64","2144-4-0012",2009,-42.25,3,0.530188645672462
"65","2144-4-0012",2010,-38.685,4,2.20194610893788
"66","2144-4-0012",2011,-30.8955555555556,9,1.69704972755007
"67","2144-4-0012",2012,-30.2742857142857,7,2.89753261208485
"68","2144-4-0012",2013,-34.048,5,2.21697316176809
"69","2144-4-0012",2014,-40.076,5,3.41284045920696
"70","2144-4-0045",1972,3.38333333333333,3,0.0808290376865477
"71","2144-4-0045",1973,2.86222222222222,9,0.207772578663414
"72","2144-4-0045",1974,2.55190476190476,21,0.211462030814495
"73","2144-4-0045",1975,2.19333333333333,12,0.175671870430659
"74","2144-4-0045",1976,2.07,6,0.193494185959165
"75","2144-4-0045",1977,1.85125,16,0.231253828797132
"76","2144-4-0045",1978,1.73,10,0.235419247773461
"77","2144-4-0104",1987,-3.709,10,0.324908534137772
"78","2144-4-0104",1988,-4.31,14,0.287402157263998
"79","2144-4-0104",1989,-4.49181818181818,11,0.19868659651915
"80","2144-4-0104",1990,-4.301,10,0.128448000719703
"81","2144-4-0104",1991,-4.34,9,0.208686367547092
"82","2144-4-0104",1992,-5.428,5,0.460184745509888
"83","2144-4-0104",1993,-6.545,4,0.27
"84","2144-4-0104",1994,-7.48666666666667,3,0.513257570166611
"85","2144-4-0104",1995,-8.8875,4,0.538972788428754
"86","2144-4-0104",1996,-9.44666666666667,6,0.128010416242846
"87","2144-4-0104",1997,-8.195,2,0.360624458405138
"88","2144-4-0104",1998,-9.042,5,0.599474770111303
"89","2144-4-0104",1999,-10.13,3,0.46
"90","2144-4-0104",2001,-10.9033333333333,3,0.180092568789868
"91","2144-4-0104",2002,-10.77,1,NA
"92","2144-4-0104",2003,-10.89,1,NA
