"","id_piezometro","anno","media_nivel","n_medidas","sd_nivel"
"1","2440-3-0041",1972,443.06,1,NA
"2","2440-3-0041",1981,442.79,6,2.91012714498869
"3","2440-3-0041",1982,435.992,5,7.44048855922782
"4","2440-3-0041",1983,424.73,2,8.31557574675379
"5","2440-3-0041",1984,409.87,1,NA
"6","2440-3-0041",1985,416.325,2,0.6151828996323
"7","2440-3-0041",1986,419.09,1,NA
"8","2440-4-0024",1970,433.19,1,NA
"9","2440-4-0024",1972,468.24,1,NA
"10","2440-4-0024",1981,460.38,1,NA
"11","2440-4-0024",1982,453.7,1,NA
"12","2440-4-0024",1984,439.34,1,NA
"13","2440-4-0024",1985,442.08,1,NA
"14","2440-4-0024",1987,441.885,2,0.431335136523804
"15","2440-4-0024",1989,439.785,2,0.770746391493319
"16","2440-4-0024",1990,439.6075,4,0.172699160391702
"17","2440-4-0024",1991,438.44,1,NA
"18","2440-4-0024",1992,436.74,1,NA
"19","2440-4-0024",1994,436.39,1,NA
"20","2440-4-0024",1995,433.066666666667,3,3.52295803740739
"21","2440-4-0024",1996,427.865,2,0.219203102167831
"22","2440-4-0024",1997,428.21,1,NA
"23","2440-4-0024",1998,435.85,3,0.285832118559132
"24","2440-4-0024",1999,431.315,4,3.71142829649179
"25","2440-4-0024",2000,427.98,1,NA
"26","2440-4-0024",2001,428.845,2,1.61927452891721
"27","2440-4-0024",2003,430.57,2,1.08894444302726
"28","2440-4-0101",1972,275.67875,8,0.951651759536324
"29","2440-4-0101",1973,273.909166666667,12,1.45601235217871
"30","2440-4-0101",1974,272.994,10,0.896687732094564
"31","2440-4-0101",1975,271.15,9,0.954017819540076
"32","2440-4-0101",1976,268.454444444444,9,1.15299730172181
"33","2440-4-0101",1977,267.643333333333,9,0.455631429995778
"34","2440-4-0101",1978,269.626666666667,6,2.96779828604753
"35","2440-4-0101",1980,256.42375,8,2.56068594325818
"36","2440-4-0101",1981,253.035714285714,7,1.34527391439882
"37","2440-4-0101",1982,248.75,4,3.01003875944038
"38","2440-4-0101",1985,237.546666666667,6,1.03831915453133
"39","2440-4-0101",1986,237.937272727273,11,1.17875435022816
"40","2440-4-0101",1987,238.543333333333,9,0.986737047039384
"41","2440-4-0101",1988,237.277777777778,9,0.549153388812672
"42","2440-4-0101",1989,236.296,5,0.834553772982897
"43","2440-4-0101",1990,234.67375,8,0.606157393516139
"44","2440-4-0101",1991,233.894166666667,12,0.573941053883876
"45","2440-4-0101",1992,233.565,2,0.0353553390593354
"46","2440-4-0102",1972,275.645,2,0.530330085889911
"47","2440-4-0102",1976,266.063333333333,3,0.735957426304887
"48","2440-4-0102",1977,264.447272727273,11,0.625173430482951
"49","2440-4-0102",1978,262.281818181818,11,1.43039028367658
"50","2440-4-0102",1979,257.995,12,1.75683858626278
"51","2440-4-0102",1980,254.104166666667,12,1.49420978406242
"52","2440-4-0102",1981,249.125,12,2.03664831614012
"53","2440-4-0102",1982,245.578571428571,7,1.82753411798
"54","2440-4-0102",1983,241.706666666667,3,1.91544598810129
"55","2440-4-0102",1984,237.36,1,NA
"56","2440-4-0102",1985,236.035,2,0.360624458405133
"57","2440-4-0102",1986,236.066666666667,6,0.587832175596632
"58","2440-4-0102",1987,237.02,7,0.353741902145238
"59","2440-4-0102",1988,236.93,9,0.345868472110427
"60","2440-4-0102",1989,225.032,5,1.20063316629185
"61","2440-4-0102",1990,222.7525,8,1.1233464037674
"62","2440-4-0102",1991,221.138181818182,11,0.367309629109238
"63","2440-4-0103",1972,276.12,2,0.509116882454334
"64","2440-4-0103",1976,269.41,4,0.469041575982362
"65","2440-4-0103",1977,268.084545454545,11,0.430612671350096
"66","2440-4-0103",1978,266.412727272727,11,1.16983837267454
"67","2440-4-0103",1979,263.018333333333,12,1.47005153486248
"68","2440-4-0103",1980,259.335384615385,13,1.22379611172651
"69","2440-4-0103",1981,255.4675,12,1.46201681995051
"70","2440-4-0103",1982,251.977142857143,7,1.83233652554795
"71","2440-4-0103",1983,248.236666666667,3,2.47617312264982
"72","2440-4-0103",1984,243.21,1,NA
"73","2440-4-0103",1985,242.88,2,0.240416305603429
"74","2440-4-0103",1986,242.266,5,0.455938592356474
"75","2440-4-0103",1987,242.57,1,NA
"76","2440-4-0104",1965,273.055,2,0.6151828996323
"77","2440-4-0104",1968,260.22,1,NA
"78","2440-4-0104",1969,257.86125,8,1.44339319957226
"79","2440-4-0104",1970,256.475,2,5.45179328294827
"80","2440-4-0104",1972,243.41625,8,3.25364822710051
"81","2440-4-0104",1973,239.604166666667,12,3.87837467910401
"82","2440-4-0104",1974,237.450909090909,11,3.07769216961493
"83","2440-4-0104",1975,233.85,9,2.29078589134821
"84","2440-4-0104",1976,230.571111111111,9,2.82336875223749
"85","2440-4-0104",1977,228.65,9,3.19342684275058
