"","id_piezometro","anno","media_nivel","n_medidas","sd_nivel"
"1","2144-3-0035",1974,1.24,1,NA
"2","2144-3-0035",1975,0.835,4,0.204857674170793
"3","2144-3-0035",1976,0.808333333333333,6,0.116002873527627
"4","2144-3-0035",1977,0.93,11,0.17343586710943
"5","2144-3-0035",1978,0.815833333333333,12,0.151684980579269
"6","2144-3-0035",1979,0.971818181818182,11,0.117543028871829
"7","2144-3-0035",1980,0.726363636363636,11,0.17482978735174
"8","2144-3-0035",1981,0.475454545454545,11,0.104437889327929
"9","2144-3-0035",1982,0.461428571428571,7,0.159523098790172
"10","2144-3-0035",1983,0.35,3,0.0721110255092798
"11","2144-3-0035",1984,0.44,1,NA
"12","2144-3-0035",1985,0.4,8,0.150807351090247
"13","2144-3-0035",1986,0.25,6,0.151525575399006
"14","2144-3-0035",1987,0.31,7,0.132035348802256
"15","2144-3-0035",1988,0.316666666666667,6,0.0722956891292051
"16","2144-3-0035",1989,0.26,2,0.0848528137423857
"17","2144-3-0035",1992,0.246666666666667,3,0.106926766215636
"18","2144-3-0035",1993,0.14,3,0.0360555127546399
"19","2144-3-0035",1994,0.1275,4,0.0910585891976516
"20","2144-3-0035",1995,0.024,5,0.0823407554009556
"21","2144-3-0035",1996,0.264,5,0.156780100778128
"22","2144-3-0035",1997,0.843333333333333,3,0.159478316185409
"23","2144-3-0035",1998,0.56,3,0.19157244060668
"24","2144-3-0035",1999,0.2,4,0.0469041575982343
"25","2144-3-0035",2000,0.06,1,NA
"26","2144-3-0035",2001,0.35,2,0.353553390593274
"27","2144-3-0035",2002,0.06,1,NA
"28","2144-3-0035",2003,0.225,2,0.0353553390593274
"29","2144-3-0056",1975,15.945,4,3.01306599109058
"30","2144-3-0056",1976,14.1025,4,1.74719537163612
"31","2144-3-0059",1975,7.26,5,2.13317837978918
"32","2144-3-0059",1976,5.94833333333333,6,1.09835179549481
"33","2144-3-0059",1977,8.53636363636364,11,1.60959791704185
"34","2144-3-0059",1978,8.04,12,1.55285075089187
"35","2144-3-0059",1979,9.89909090909091,11,2.47153982183357
"36","2144-3-0059",1980,5.69,10,1.81675534951738
"37","2144-3-0059",1981,2.801,10,1.15177592342338
"38","2144-3-0059",1982,2.43571428571429,7,0.989138634416449
"39","2144-3-0059",1983,2.18,3,0.379868398264452
"40","2144-3-0059",1984,4.31,1,NA
"41","2144-3-0059",1985,2.835,8,0.899333086236685
"42","2144-3-0059",1986,0.54,5,1.07452315005308
"43","2144-3-0059",1987,0.0957142857142857,7,0.571951546399318
"44","2144-3-0059",1988,0.652,5,0.414391119595968
"45","2144-3-0059",1989,0.91,2,0.5939696961967
"46","2144-3-0059",1992,2.62666666666667,3,0.31374086972107
"47","2144-3-0059",1993,0.633333333333333,3,1.43841347787531
"48","2144-3-0059",1994,-0.75,4,0.513939036592214
"49","2144-3-0059",1995,-8.546,5,4.31162150472418
"50","2144-3-0059",1996,-1.93,5,0.980535567942336
"51","2144-3-0059",1997,7.51,2,0.636396103067893
"52","2144-3-0059",1998,7.09333333333333,3,0.703159536188861
"53","2144-3-0059",1999,-1.38777878078145e-17,4,1.72593935776048
"54","2144-3-0059",2001,0.145,2,0.728319984622144
"55","2144-3-0059",2002,1.55,1,NA
"56","2144-3-0059",2003,1.425,2,0.601040764008565
"57","2144-3-0066",1975,6.92,4,1.60551134118282
"58","2144-3-0066",1976,5.775,4,0.937389993545909
"59","2144-3-0086",1975,58.99,2,6.7175144212722
"60","2144-3-0086",1976,62.78,1,NA
"61","2144-3-0272",1990,-3.18,1,NA
"62","2144-3-0272",1996,-2.304,5,2.07622975607229
"63","2144-3-0272",1997,5.03,5,3.28392295890144
"64","2144-3-0272",1998,2.72333333333333,3,1.32122417981709
"65","2144-3-0272",1999,-3.18333333333333,6,2.55502380941287
"66","2144-3-0272",2000,-6.565,2,0.0353553390593273
"67","2144-3-0272",2001,-2.28,3,1.52699050422719
"68","2144-3-0272",2002,-4.91,1,NA
"69","2144-3-0272",2003,-3.72,2,1.03237590053236
"70","2144-4-0070",1975,0.606666666666667,3,0.0776745346515403
"71","2144-4-0070",1976,0.665,2,0.176776695296637
"72","2144-7-0014",1975,0.625,4,0.477807492616012
"73","2144-7-0014",1976,1.0075,4,0.306199825821853
"74","2144-7-0019",1975,0.8725,4,0.528291270670514
"75","2144-7-0019",1976,1.0825,4,0.402109023358923
"76","2144-7-0019",1994,7.57,1,NA
"77","2144-7-0037",1975,1.05,3,0.661211010192662
"78","2144-7-0037",1976,1.06,6,0.537735994703721
"79","2144-7-0037",1977,1.33454545454545,11,0.80582086888295
"80","2144-7-0037",1978,0.876666666666667,12,0.416747870874931
"81","2144-7-0037",1979,1.361,10,0.848651872088903
"82","2144-7-0037",1980,0.570909090909091,11,0.336732966769057
"83","2144-7-0037",1981,0.105454545454545,11,0.304544369061838
"84","2144-7-0037",1982,0.34,2,0.0707106781186548
"85","2144-7-0041",1975,0.9725,4,0.670043530924173
"86","2144-7-0041",1976,0.8225,4,0.531938279627753
"87","2144-7-0050",1975,1.17,5,0.295719461652425
"88","2144-7-0050",1976,0.988333333333333,6,0.184652827399601
"89","2144-7-0050",1977,1.27,11,0.140285423334001
"90","2144-7-0050",1978,1.26583333333333,12,0.197321073533989
