"","id_piezometro","anno","media_nivel","n_medidas","sd_nivel"
"1","2243-4-0036",1972,283.29,1,NA
"2","2243-4-0036",1973,283.976666666667,6,1.019660074077
"3","2243-4-0036",1974,283.427,10,1.33959405127905
"4","2243-4-0036",1975,283.8675,4,0.0967384790728667
"5","2243-4-0036",1976,283.125,4,0.0750555349946487
"6","2243-4-0036",1977,283.186666666667,12,0.979418504042377
"7","2243-4-0036",1978,283.446,10,0.247530020625999
"8","2243-4-0036",1979,283.03,10,1.71887560147131
"9","2243-4-0036",1980,281.935,8,0.634687774759023
"10","2243-4-0036",1981,280.156,10,3.14560434045138
"11","2243-4-0036",1982,280.0725,8,2.3443229299736
"12","2243-4-0036",1983,281.665,4,0.409918691124622
"13","2243-4-0036",1986,273.56,1,NA
"14","2243-4-0036",1987,273.67,1,NA
"15","2243-4-0036",1988,273.67,1,NA
"16","2243-4-0052",1972,193.3,1,NA
"17","2243-4-0052",1982,181.8,2,1.4142135623731
"18","2243-4-0052",1988,184.2,1,NA
"19","2243-4-0052",1989,173.59,1,NA
"20","2243-4-0052",1990,177.85,3,0.190525588832567
"21","2243-4-0052",1991,177.65,2,0
"22","2243-4-0052",1993,176.74,1,NA
"23","2243-4-0052",2002,172.7,1,NA
"24","2243-4-0121",1982,189.4,1,NA
"25","2243-4-0121",1990,175.62,1,NA
"26","2243-4-0121",1995,167.964,5,6.90692623386119
"27","2243-4-0121",1996,171.9125,4,0.740602232420795
"28","2243-4-0121",1997,163.03,3,2.40657432879185
"29","2243-4-0121",1998,173.44,2,1.5556349186104
"30","2243-4-0121",1999,169.553333333333,3,1.30005128103985
"31","2243-4-0121",2000,158.285,2,15.2381511345701
"32","2243-4-0121",2001,148.81,1,NA
"33","2343-1-0001",1972,280.06,1,NA
"34","2343-1-0001",1973,278.74,2,0
"35","2343-1-0001",1975,283.22,8,0.0645865974597627
"36","2343-1-0001",1976,283.647777777778,9,0.394834705217828
"37","2343-1-0035",1972,159.14,1,NA
"38","2343-1-0035",1973,158.936923076923,13,0.419928260051339
"39","2343-1-0035",1974,159.01,6,0.510803288947903
"40","2343-1-0035",1975,158.46,10,1.49854744484266
"41","2343-1-0035",1976,158.28125,8,1.04017083074986
"42","2343-1-0035",1977,157.731,20,1.28705661757442
"43","2343-1-0035",1978,156.484375,16,3.00130853406755
"44","2343-1-0035",1979,153.767777777778,18,3.41485949337262
"45","2343-1-0035",1980,154.577142857143,14,2.6953333704798
"46","2343-1-0035",1981,148.658,10,2.36292097954112
"47","2343-1-0035",1982,146.08,1,NA
"48","2343-1-0035",1991,157.37,2,0
"49","2343-1-0035",1992,157.39,1,NA
"50","2343-1-0035",1993,158.39,1,NA
"51","2343-1-0137",1972,304.165,2,1.46371103705615
"52","2343-1-0137",1973,304.44,2,0
"53","2343-1-0137",1974,305,4,0
"54","2343-1-0137",1975,304.5425,8,0.156821099163536
"55","2343-1-0137",1976,302.291818181818,11,3.7335179608027
"56","2343-1-0137",1977,291.696363636364,22,1.40140251331621
"57","2343-1-0137",1978,289.29875,16,0.970298064170669
"58","2343-1-0137",2004,268.59,1,NA
"59","2343-1-0195",1976,0,1,NA
"60","2343-1-0195",1977,0,4,0
"61","2343-1-0195",1978,0,1,NA
"62","2343-1-0195",1979,0,1,NA
"63","2343-1-0195",1991,0,2,0
"64","2343-1-0253",1983,166,1,NA
"65","2343-1-0253",1985,158.22,1,NA
"66","2343-1-0253",1991,161.42,2,0
"67","2343-1-0253",1992,161.1,1,NA
"68","2343-1-0253",1993,160.5,1,NA
"69","2343-1-0253",1995,146.76,3,2.59636284059066
"70","2343-1-0253",1996,142.612857142857,7,11.8926626038715
"71","2343-1-0253",1997,135.96,5,26.1085637291675
"72","2343-1-0253",1998,155.37,2,3.26683332908185
"73","2343-1-0253",1999,150.385,4,3.13412933151563
"74","2343-1-0253",2000,121.475,2,37.2715984363429
"75","2343-1-0253",2001,96.33,1,NA
"76","2343-1-0253",2002,97.23,1,NA
"77","2343-1-0253",2003,96.01,1,NA
"78","2343-5-0004",1969,63.15,1,NA
"79","2343-5-0004",1973,63.6945454545455,11,2.12692436930119
"80","2343-5-0004",1974,64.59875,8,2.11957837788557
"81","2343-5-0004",1983,60.4,1,NA
"82","2343-5-0042",1972,70.58,1,NA
"83","2343-5-0042",1982,58.9,1,NA
"84","2343-5-0043",1972,67.15,2,0
"85","2343-5-0043",1981,64.53,1,NA
"86","2343-5-0101",1972,64.86,1,NA
"87","2343-5-0101",1975,55.98,2,0
"88","2343-5-0101",1976,55.72,11,0.694103738644305
"89","2343-5-0101",1977,54.8590909090909,22,0.386694281742654
"90","2343-5-0101",1978,55.1181818181818,22,0.563523239590384
"91","2343-5-0101",1979,55.32,22,0.445100309721624
"92","2343-5-0101",1980,57.0563636363636,22,1.93599130619493
"93","2343-5-0101",1981,58.9957894736842,19,1.29525765686246
"94","2343-5-0101",1982,58.7857142857143,14,1.09325001916104
"95","2343-5-0101",1983,57.4433333333333,6,1.17171099963543
"96","2343-5-0101",1984,59.35,1,NA
"97","2343-5-0101",1990,61.14,1,NA
"98","2343-5-0101",1995,43.6925,4,2.54108080679593
"99","2343-5-0101",1996,53.295,4,0.90835015274948
"100","2343-5-0101",1997,53.545,2,0.487903679018716
"101","2343-5-0101",1998,53.215,2,0.205060966544098
"102","2343-5-0101",1999,52.4766666666667,3,0.496621921921833
"103","2343-5-0101",2000,53.715,2,1.40714249456123
"104","2343-5-0101",2001,52.84,1,NA
"105","2343-5-0101",2003,53.14,2,0
"106","2343-5-0101",2004,52.8,1,NA
"107","2343-5-0116",1972,-2.31,1,NA
"108","2343-5-0116",1973,-23.86,4,20.5097066450661
"109","2343-5-0116",1974,-10,2,0
"110","2343-5-0116",1975,-12.4777777777778,9,1.12974308780556
"111","2343-5-0116",1976,-14.2618181818182,11,0.406197444152919
"112","2343-5-0116",1977,-15.6818181818182,22,0.211066145435306
"113","2343-5-0116",1978,-16.3318181818182,22,0.162147386324216
"114","2343-5-0116",1979,-15.89,22,0.403579224534899
"115","2343-5-0116",1980,-13.7127272727273,22,0.901460095084804
"116","2343-5-0116",1981,-10.2539130434783,23,1.20751336951166
"117","2343-5-0116",1982,-6.06,14,1.32863145321099
"118","2343-5-0116",1983,-2.83333333333333,6,0.999893327643837
"119","2343-5-0116",1984,0.78,1,NA
"120","2343-5-0122",1973,12,1,NA
"121","2343-5-0122",1982,10.41,1,NA
"122","2343-5-0122",1995,20.805,4,1.07099642078456
"123","2343-5-0122",1996,20.075,4,1.29837077395737
"124","2343-5-0122",1997,23.14,3,1.03590540108641
"125","2343-5-0122",1998,23.65,2,0.466690475583121
"126","2343-5-0122",1999,21.9833333333333,3,3.46116069163703
"127","2343-5-0122",2000,15.08,2,1.07480230740355
"128","2343-5-0122",2001,14.67,1,NA
"129","2343-5-0148",1969,0.4,1,NA
"130","2343-5-0148",1973,0.688888888888889,9,0.745091344139167
"131","2343-5-0148",1975,0.614285714285714,7,0.411252442459095
"132","2343-5-0148",1976,0.283333333333333,3,0.0635085296108588
"133","2343-5-0148",1977,0.363,10,0.15070574714397
"134","2343-5-0148",1978,0.255,8,0.0694879228972303
"135","2343-5-0148",1979,0.53,9,0.268188366638078
"136","2343-5-0148",1980,0.334,10,0.076040924653914
"137","2343-5-0148",1981,0.262727272727273,11,0.0517862740677313
"138","2343-5-0148",1982,0.328571428571429,7,0.0598410593234476
"139","2343-5-0148",1983,0.58,3,0.476340214552582
"140","2343-5-0148",1990,2.48,1,NA
"141","2343-5-0148",1991,1.58,1,NA
"142","2343-5-0148",1992,1.4,1,NA
"143","2343-5-0148",1993,1.06,2,0.311126983722081
"144","2343-5-0148",1995,0.78,4,0.188679622641132
"145","2343-5-0148",1996,1.6525,4,0.914307570423287
"146","2343-5-0148",1997,2.24,3,0.94905215873523
"147","2343-5-0148",1998,2.36,3,0.0866025403784441
"148","2343-5-0148",1999,1.16666666666667,3,0.153079500042734
"149","2343-5-0148",2000,0.52,2,0.0848528137423857
"150","2343-5-0148",2001,0.9,1,NA
"151","2343-5-0149",1969,-0.21,1,NA
"152","2343-5-0149",1973,-0.16,1,NA
"153","2343-5-0149",1982,-0.19,1,NA
"154","2343-5-0150",1973,-0.39,1,NA
"155","2343-5-0150",1982,-0.84,1,NA
"156","2343-5-0171",1967,46,1,NA
"157","2343-5-0171",1969,46,1,NA
"158","2343-5-0171",1972,32.68,1,NA
"159","2343-5-0171",1973,26.0642857142857,7,1.41936437819724
"160","2343-5-0171",1974,22.37,2,0
"161","2343-5-0171",1975,24.02,7,0.542279140910534
"162","2343-5-0171",1976,21.0572727272727,11,1.98697806182701
"163","2343-5-0171",1977,18.9927272727273,22,0.693659596894354
"164","2343-5-0171",1978,20.34,22,0.741696896120164
"165","2343-5-0171",1979,21.56,22,0.623232739527576
"166","2343-5-0171",1980,20.39,22,1.1671862788449
"167","2343-5-0171",1981,18.8927272727273,22,1.0919191572124
"168","2343-5-0171",1982,18.2071428571429,14,0.624665185044432
"169","2343-5-0171",1983,17.5033333333333,6,0.575800891512566
"170","2343-5-0171",1985,17.885,2,0.190918830920368
"171","2343-5-0171",1986,20.06,1,NA
"172","2343-5-0171",1987,20.835,2,0.289913780286485
"173","2343-5-0171",1988,21.19,3,0.491222963632605
"174","2343-5-0171",1989,22.355,2,0.106066017177981
"175","2343-5-0171",1990,23.55,2,0.381837661840735
"176","2343-5-0171",1991,24.27,1,NA
"177","2343-5-0171",1992,24.96,1,NA
"178","2343-5-0201",1990,149.17,1,NA
"179","2343-5-0201",1995,136.8425,4,0.85402478496431
"180","2343-5-0201",1996,137.124,5,0.340998533721191
"181","2343-5-0201",1997,134.71,1,NA
"182","2343-6-0010",1969,103.54,1,NA
"183","2343-6-0010",1973,102.752,5,0.213705404704706
"184","2343-6-0010",1983,99.6,1,NA
"185","2343-6-0010",1991,101.3,2,0
"186","2343-6-0010",1992,101.13,1,NA
"187","2343-6-0010",1993,100.85,1,NA
"188","2343-6-0075",1973,80.4445454545454,11,0.374736270898978
"189","2343-6-0075",1974,80.7918181818182,11,0.235534209057545
"190","2343-6-0075",1975,80.3325,8,0.822170472416934
"191","2343-6-0075",1976,78.72,8,1.03308138249469
"192","2343-6-0075",1977,79.8294736842105,19,0.483384752255851
"193","2343-6-0075",1978,78.9258823529412,17,1.14373324481459
"194","2343-6-0075",1979,78.5390909090909,22,0.578461910429876
"195","2343-6-0075",1980,77.863,20,0.578128559732995
"196","2343-6-0075",1981,76.2471428571429,14,0.802126295172144
"197","2343-6-0075",1982,75.6177777777778,9,0.642257303924562
"198","2343-6-0075",1983,71.5566666666667,3,4.64766966697649
"199","2343-6-0075",1987,70.42,1,NA
"200","2343-6-0075",1988,70.66,2,0.0424264068711945
"201","2343-6-0075",1990,72.27,1,NA
"202","2343-6-0075",1992,74.14,1,NA
"203","2343-6-0115",1972,60,1,NA
"204","2343-6-0115",1982,0,1,NA
"205","2343-6-0168",1971,34.84,1,NA
"206","2343-6-0168",1972,35.34,2,0
"207","2343-6-0168",1973,34.89,6,0.65617070949563
"208","2343-6-0168",1974,35.3283333333333,6,0.291576176438794
"209","2343-6-0168",1975,34.758,5,1.28320692018084
"210","2343-6-0168",1976,35.472,5,0.109407495172862
"211","2343-6-0168",1977,34.7190909090909,11,0.637000071357211
"212","2343-6-0168",1978,34.4890909090909,11,0.687552973165771
"213","2343-6-0168",1979,34.59,11,0.357295395996087
"214","2343-6-0168",1980,34.3381818181818,11,0.26441702599561
"215","2343-6-0168",1981,34.1818181818182,11,0.168867888114832
"216","2343-6-0168",1982,34.24125,8,0.13217277653565
"217","2343-6-0168",1983,34.05,3,0.13453624047074
"218","2343-6-0180",1973,10,1,NA
"219","2343-6-0180",1982,-1.24,1,NA
"220","2343-6-0180",1990,2.64,1,NA
"221","2343-6-0186",1969,1.41,1,NA
