"","id_piezometro","anno","media_nivel","n_medidas","sd_nivel"
"1","2143-3-0016",1990,696.17,1,NA
"2","2143-3-0016",1995,696.24,1,NA
"3","2143-3-0016",2002,696.4,1,NA
"4","2143-7-0006",1975,575.45,1,NA
"5","2143-7-0006",1980,572.68,1,NA
"6","2143-7-0006",1990,573.4,1,NA
"7","2143-7-0006",1995,572.04,5,0.0966953980290365
"8","2143-7-0006",1996,573.4875,4,0.622970036732629
"9","2143-7-0006",1997,574.355,2,0.0353553390592952
"10","2143-7-0006",1998,575.185,2,0.0353553390593756
"11","2143-7-0006",1999,574.2,2,2.31931024229194
"12","2143-7-0006",2000,573.26,2,0.353553390593274
"13","2143-7-0006",2001,573.84,1,NA
"14","2143-7-0006",2002,573.69,1,NA
"15","2143-7-0006",2003,573.2,2,0.098994949366107
"16","2143-7-0006",2004,573.52,1,NA
"17","2143-7-0006",2012,564.48,1,NA
"18","2143-7-0021",1990,504.47,1,NA
"19","2143-7-0021",1995,500.7475,4,0.893546305459328
"20","2143-7-0021",1996,499.836666666667,6,0.415050197767308
"21","2143-7-0021",1997,500.485,2,0.00707106781185904
"22","2143-7-0021",1998,502.24,2,0.38183766184071
"23","2143-7-0021",1999,498.22,2,7.58018469431977
"24","2143-7-0021",2000,496.74,2,6.15182899632295
"25","2143-7-0021",2001,501.57,1,NA
"26","2143-7-0021",2002,501.09,1,NA
"27","2143-7-0021",2003,498.715,2,0.106066017178006
"28","2143-7-0021",2004,496.47,1,NA
"29","2143-7-0029",2002,259.13,1,NA
"30","2143-7-0029",2003,254.595,2,2.24152849636137
"31","2143-7-0029",2004,252.02,1,NA
"32","2143-7-0137",1978,212.1,1,NA
"33","2143-7-0137",1980,210.92,1,NA
"34","2143-7-0137",1995,202.915,4,1.92441333051574
"35","2143-7-0137",1996,203.626,5,1.2630043547035
"36","2143-7-0137",1997,204.873333333333,3,0.118462370959436
"37","2143-7-0137",1998,206.966666666667,3,0.284487843911364
"38","2143-7-0137",1999,206.78,2,0.98994949366115
"39","2143-7-0137",2000,206.6,2,1.08894444302728
"40","2143-7-0137",2002,207.01,1,NA
"41","2143-7-0137",2003,205.36,1,NA
"42","2143-7-0137",2004,204.5,1,NA
"43","2143-7-0137",2015,205.62875,8,2.78369455169615
"44","2143-7-0137",2016,204.808333333333,6,0.618463148996504
"45","2143-7-0139",1980,168.5,1,NA
"46","2143-7-0139",1981,168.94,4,0.594698803316988
"47","2143-7-0139",1982,169.742857142857,7,0.664648134622483
"48","2143-7-0139",1983,171.09,3,1.10285991857533
"49","2143-7-0139",1985,170.076666666667,3,1.37409364067131
"50","2143-7-0139",1986,168.58,1,NA
"51","2143-7-0139",1987,170.37,1,NA
"52","2143-7-0139",1988,171.42,2,0.38183766184073
"53","2143-7-0139",1989,169.38,1,NA
"54","2143-7-0139",1990,171.705,2,4.53255446740577
"55","2143-7-0139",1992,169.28,1,NA
"56","2143-7-0139",1995,167.99,1,NA
"57","2143-7-0140",1980,165.81,1,NA
"58","2143-7-0140",1981,166.98,3,1.64
"59","2143-7-0140",1982,167.593333333333,6,0.272592491948446
"60","2143-7-0140",1983,168.936666666667,3,1.14709778717131
"61","2143-7-0140",1984,173.76,1,NA
"62","2143-7-0140",1987,168.94,1,NA
"63","2143-7-0140",1988,169.803333333333,3,0.530031445608023
"64","2143-7-0140",1989,167.43,2,0.0848528137423889
